pos,rho;ad,an,bd,bn,cd,cn,dd,dn,ed,en
1.64873,0.303408;10.0,3.65239,0.453043,10.0,0.1,10.0,0.948642,0.189247,10.0,0.1
1.65313,0.30324;10.0,3.86239,0.1,7.9527,0.36743,10.0,2.02388,2.55214,10.0,0.539265
1.65624,0.302936;8.00566,6.65066,0.1,10.0,0.1,3.12538,0.920789,0.1,0.981275,0.215455
1.6613,0.304582;10.0,3.74983,0.1,10.0,0.817963,10.0,0.157607,0.1,10.0,0.1
1.66592,0.304478;4.49193,1.65941,0.280674,0.1,0.1,10.0,0.191138,0.1,10.0,0.411702
1.6742,0.304583;4.49193,1.66209,0.1,0.1,0.319206,10.0,0.1,0.1,10.0,0.389339
1.67835,0.303412;10.0,3.47126,0.1,1.51045,0.463292,10.0,0.230768,0.1,4.83185,0.1
1.68149,0.30271;10.0,3.7469,0.147674,8.56509,0.283879,10.0,0.1,0.1,10.0,0.285835
1.68743,0.300731;10.0,4.93993,0.73613,10.0,0.1,10.0,0.1,0.1,10.0,1.27408
1.69239,0.301685;10.0,3.86239,0.152973,10.0,0.1,10.0,3.11746,2.77272,10.0,0.1
1.69828,0.302306;10.0,3.86239,0.292026,10.0,0.433839,10.0,0.237329,0.189247,10.0,0.1
1.70647,0.300266;4.49193,1.65941,0.100549,0.1,0.164196,10.0,0.274719,0.15493,10.0,0.292194
1.70927,0.303922;4.49193,1.65941,0.1,0.1,0.1,10.0,0.156142,0.1,10.0,0.254087
1.70872,0.302348;5.09629,2.7641,2.23709,10.0,0.1,9.86687,0.106359,0.1,10.0,0.19694
1.71804,0.303391;10.0,4.02287,0.262225,10.0,0.308966,10.0,0.341954,0.340348,10.0,0.180834
1.72263,0.302392;10.0,4.34141,0.1,9.2227,0.114168,10.0,0.366036,0.146203,10.0,0.62501
1.72844,0.304172;0.239824,0.1,0.293314,0.1,0.133852,0.1,0.1,4.30132,5.72628,0.151066
1.73048,0.30146;10.0,3.97543,0.110655,10.0,0.1,10.0,0.699298,0.122278,10.0,0.1
1.74146,0.300066;10.0,4.34141,0.1,10.0,0.78134,10.0,0.65142,1.46871,10.0,0.382189
1.74562,0.304191;10.0,4.34141,0.1,10.0,0.354012,10.0,0.102303,0.187729,10.0,0.382189
1.74763,0.303059;10.0,4.34141,0.1,10.0,0.331952,10.0,0.1,0.1,10.0,0.382189
1.75347,0.302841;4.49193,1.65941,0.1,0.560524,0.164196,10.0,0.1,0.1,10.0,0.1
1.75877,0.300469;4.49193,1.65941,0.1,0.560524,0.140953,10.0,0.18344,0.1,10.0,0.1
1.76176,0.304443;9.62766,4.34141,0.206419,10.0,0.1,10.0,0.366036,0.1,10.0,0.437352
1.76699,0.301131;9.62766,4.34141,0.267901,10.0,0.1,10.0,0.366036,0.1,10.0,0.437352
1.77529,0.303025;10.0,4.30323,0.1,10.0,0.379166,10.0,0.104592,0.524946,10.0,0.227794
1.77764,0.304626;6.5332,6.12374,0.195389,10.0,0.1,5.98621,0.194124,1.81816,10.0,4.68785
1.78361,0.304041;10.0,10.0,0.1,10.0,0.1,10.0,4.17956,0.1,0.1,0.1
1.78754,0.301029;10.0,10.0,0.1,10.0,0.135108,10.0,4.17956,0.104951,0.1,0.1
1.79098,0.300306;10.0,10.0,0.1,10.0,0.135108,10.0,4.17956,0.1,0.1,0.1
1.80118,0.304015;8.66901,4.34141,0.1,8.6155,0.250339,10.0,0.1,0.1,10.0,0.858829
1.8022,0.30331;8.66901,4.34141,0.1,8.6155,0.263907,10.0,0.1,0.1,10.0,0.858829
1.81002,0.301039;10.0,4.92681,0.1,10.0,0.268333,6.70572,0.440136,0.101412,4.18075,0.104983
1.81232,0.301004;10.0,4.92034,0.167808,10.0,0.278809,6.70572,0.34208,0.1,4.18075,0.1
1.81689,0.299866;10.0,4.30323,0.1,10.0,0.1,10.0,0.1,0.268839,10.0,0.1
1.82134,0.301991;10.0,3.92643,0.1,0.1,0.1,10.0,0.1,5.60756,10.0,0.1
1.82625,0.305216;0.236934,0.1,0.1,0.168006,0.243166,1.07303,0.273322,3.12467,6.27071,0.1
1.83122,0.30337;0.1,0.1,0.180947,0.1,0.138796,0.107673,2.48179,10.0,10.0,4.89693
1.83593,0.301994;0.1,0.1,0.180947,0.1,0.138796,0.1,2.48179,10.0,10.0,4.89693
1.84275,0.30402;0.100646,0.1,0.447506,0.523303,2.58331,10.0,0.788576,0.1,3.59932,0.1
1.85073,0.300164;9.37324,10.0,0.461603,10.0,0.1,10.0,3.74918,0.1,0.112608,0.1
1.8563,0.302315;10.0,8.81472,0.1,10.0,0.159175,10.0,0.1,1.14675,10.0,4.44032
1.86026,0.301041;8.95822,4.30323,0.1,10.0,0.379166,10.0,0.104592,0.340514,10.0,0.227794
1.8666,0.303676;8.66901,4.34141,0.193107,10.0,0.263907,10.0,0.1,0.211228,10.0,0.342424
1.86917,0.301962;8.66901,4.34141,0.165883,10.0,0.263907,10.0,0.142833,0.13292,10.0,0.342424
1.8716,0.301457;0.278243,0.155829,0.1,0.419546,0.1,5.96492,10.0,2.42159,3.59943,0.1
1.87379,0.30465;10.0,4.44781,0.1,5.29651,3.52879,10.0,0.520282,10.0,10.0,0.137711
1.88195,0.304834;0.674981,0.504152,0.190194,0.1,0.1,0.1,5.26397,10.0,1.28588,0.192166
1.88573,0.303578;10.0,4.44781,0.1,5.29651,3.52879,10.0,0.462962,10.0,10.0,0.1
1.88823,0.302011;10.0,4.44781,0.1,5.3999,3.52879,10.0,0.533683,10.0,10.0,0.1
1.89321,0.300623;10.0,4.44781,0.1,5.29651,3.52879,10.0,0.533683,10.0,10.0,0.1
1.90671,0.302182;7.7985,3.97543,0.2469,10.0,0.1,10.0,0.699298,0.122278,10.0,0.1
1.90768,0.301656;7.7985,3.97543,0.2469,10.0,0.1,10.0,0.699298,0.1,10.0,0.1
1.91157,0.301417;9.96443,4.42808,0.19277,0.1,0.581909,6.62743,0.1,10.0,10.0,0.237944
1.91695,0.302788;0.678117,0.504152,0.1,0.1,0.1,0.1,5.26397,10.0,1.28588,0.192166
1.92087,0.304691;9.21274,4.18789,0.1,10.0,0.352724,0.1,0.1,9.56153,7.38333,0.14063
1.92461,0.301539;0.144735,0.1,0.1,0.1,2.58331,7.44696,0.1,0.1,10.0,0.1
1.93008,0.305095;10.0,4.41254,0.420262,0.1,0.1,6.62743,0.1,10.0,10.0,0.1
1.93876,0.303371;0.1,0.1,0.498582,0.229295,2.58331,10.0,0.788576,0.142854,3.59932,0.1
1.94051,0.303338;10.0,4.41254,0.116064,0.1,0.194769,6.62743,0.237289,10.0,10.0,0.1
1.9498,0.301662;7.8085,4.71573,0.14013,10.0,0.355969,10.0,0.1,0.1,10.0,0.863426
1.9555,0.299815;10.0,4.92034,0.139414,6.45531,0.10769,8.68928,0.34208,0.118864,4.18075,0.1
1.95865,0.302802;10.0,5.26354,0.1,0.1,0.338166,10.0,0.1,0.1,2.99979,0.196627
1.96313,0.302035;10.0,4.3693,0.1,1.1432,0.1,6.05179,0.12172,10.0,10.0,0.1
1.96914,0.303522;3.29729,1.58717,0.1,0.1,0.416694,9.78742,0.133311,0.1,8.22474,0.1
1.97244,0.302438;3.29729,1.58717,0.1,0.14278,0.445674,9.78742,0.133311,0.1,8.22474,0.1
1.97944,0.303834;10.0,4.18789,0.1,5.82537,0.189392,0.1,0.1,10.0,6.53872,0.1
1.98145,0.305283;1.31825,0.625804,0.347956,0.1,0.197793,0.1,0.1,10.0,10.0,0.1
1.98948,0.300163;10.0,4.18789,0.170673,5.82537,0.189392,0.1,0.1,10.0,6.53872,0.1
1.9929,0.303309;4.56089,2.97487,0.1,10.0,0.452401,0.268205,0.1,10.0,10.0,0.120996
1.99697,0.300102;0.1,0.1,0.1,0.381228,0.138796,0.426504,2.48179,10.0,10.0,4.89693
1.99766,0.302586;1.31825,0.625804,0.347956,0.12864,0.197793,0.1,0.1,10.0,10.0,0.1
2.00269,0.300788;1.31825,0.625804,0.347956,0.117863,0.197793,0.1,0.121177,10.0,10.0,0.1
2.01482,0.30359;1.31825,0.625804,0.239113,0.1,0.1,0.1,0.1,9.73348,10.0,0.1
2.01901,0.302156;1.31825,0.625804,0.24968,0.1,0.1,0.1,0.1,9.73348,10.0,0.1
2.02326,0.304789;4.56089,2.97487,0.235582,10.0,0.131267,0.215659,0.229225,10.0,10.0,0.11691
2.02776,0.305248;4.56089,2.97487,0.235582,10.0,0.1,0.1,0.169778,10.0,10.0,0.11691
2.03442,0.303088;9.0707,10.0,0.149023,10.0,0.1,10.0,3.51507,0.1,0.187741,0.1
2.03982,0.299497;7.75167,4.34141,0.1,10.0,0.1,10.0,0.1,0.1,10.0,0.1
2.0439,0.300067;0.1,0.1,0.1,0.240842,2.99868,9.48909,0.124905,0.25617,10.0,1.45961
2.0416,0.304199;10.0,5.0412,1.30546,0.1,0.650271,10.0,0.1,10.0,10.0,0.1
2.05495,0.304568;7.93528,4.35031,0.105744,4.7586,0.106549,6.24688,1.36532,10.0,10.0,0.73717
2.06315,0.303498;0.1,0.1,0.54222,0.1,0.1,10.0,10.0,0.1,5.06882,1.19791
2.06697,0.303602;6.90677,3.6926,2.01113,0.1,0.1,0.967118,0.16708,10.0,5.40343,0.1
2.07688,0.3036;0.1,0.1,0.54222,0.287982,0.1,10.0,10.0,0.1,5.06882,1.19791
2.08273,0.303519;10.0,5.58733,0.290769,6.45531,0.213513,10.0,0.255598,0.14618,4.18075,0.1
2.08394,0.303974;2.1609,2.65786,0.1,10.0,0.1,0.1,0.1,8.07062,10.0,0.31548
2.08717,0.304499;1.20644,0.596618,0.1,0.1,0.1,0.1,0.141581,9.73348,10.0,0.1
2.09511,0.302782;10.0,5.0412,0.39299,0.308961,0.183501,8.58209,0.177447,10.0,10.0,0.1
2.10146,0.303912;6.68576,4.34141,0.1,10.0,0.215882,10.0,0.81055,0.971895,10.0,0.382189
2.10476,0.30201;1.20644,0.596618,0.1,0.138337,0.1,0.1,0.141581,9.73348,10.0,0.1
2.10826,0.301526;1.20644,0.596618,0.1,0.146282,0.1,0.1,0.141581,9.73348,10.0,0.1
2.1085,0.302208;7.16621,4.34141,0.108538,10.0,0.1,10.0,0.104888,0.198746,10.0,0.1
2.1173,0.301163;10.0,10.0,0.1,10.0,0.358521,10.0,0.1,0.1,5.45716,2.26199
2.12579,0.304076;2.21954,1.44344,0.1,0.161054,0.1,10.0,10.0,10.0,4.00994,0.1
2.1298,0.302934;2.21954,1.44344,0.1,0.1,0.1,10.0,10.0,10.0,4.00994,0.1
2.13372,0.30185;2.21954,1.44344,0.108911,0.1,0.1,10.0,10.0,10.0,4.00994,0.1
2.13968,0.300672;10.0,10.0,0.1,10.0,0.358521,10.0,0.1,0.249351,5.45716,2.21698
2.14596,0.300667;10.0,10.0,0.1,8.68623,0.112528,10.0,2.58757,10.0,10.0,4.52649
2.14375,0.303751;10.0,10.0,0.121228,8.4098,0.1,10.0,2.4177,10.0,10.0,4.52649
2.1498,0.301413;10.0,7.33846,0.133021,10.0,0.359405,0.127669,0.50507,5.93567,2.44656,0.365796
2.15647,0.301908;9.10802,5.0412,1.0978,0.137347,0.341962,10.0,0.192524,10.0,10.0,0.212852
2.15874,0.301886;6.33513,4.34141,0.221097,10.0,0.1,10.0,0.392141,0.216676,10.0,0.437352
2.17051,0.303929;10.0,9.8208,0.283882,0.180787,0.40885,10.0,0.1,10.0,10.0,4.52649
2.1693,0.30252;9.10802,5.0412,1.0978,0.198806,0.247784,10.0,0.192524,10.0,10.0,0.166058
2.16967,0.304795;2.26544,2.65786,0.1,10.0,0.1,0.277777,0.1,8.07062,10.0,0.1
2.17657,0.305243;10.0,9.8208,0.1,0.1,0.1,10.0,0.1,9.33921,10.0,4.52649
2.18747,0.30468;9.10802,5.0412,1.0978,3.31989,0.757164,10.0,0.1,10.0,10.0,0.1
2.19379,0.304331;0.297382,0.207515,0.1,0.1,0.617304,10.0,10.0,1.30756,10.0,0.104288
2.199,0.304031;6.76529,4.35031,0.357326,4.97243,0.273989,6.24688,0.615954,10.0,10.0,1.03757
2.20282,0.30457;5.97815,10.0,0.1,10.0,0.253487,9.86756,0.1,0.419695,10.0,10.0
2.20868,0.302264;5.97815,10.0,0.1,10.0,0.207177,10.0,0.241243,0.316399,10.0,10.0
2.21126,0.300482;1.8606,2.5891,0.1,10.0,0.1,10.0,10.0,0.1,0.435919,0.1
2.22184,0.304494;0.653839,0.395109,0.1,0.167067,0.148117,0.1,0.615503,10.0,10.0,0.642959
2.22053,0.300921;0.1,0.103031,0.175403,0.1,1.118,10.0,10.0,0.217604,0.1,0.1
2.2269,0.30398;10.0,10.0,0.1,0.1,0.220443,10.0,0.114986,10.0,10.0,4.52649
2.22887,0.304212;10.0,10.0,0.1,0.1,0.1,10.0,0.1,9.77468,10.0,4.52649
2.23746,0.301584;10.0,10.0,0.1,0.1,0.258627,10.0,0.1,10.0,10.0,4.52649
2.23953,0.303122;6.1494,10.0,0.1,3.08825,0.227663,0.137625,0.1,0.897271,0.1,0.1
2.24475,0.30068;10.0,10.0,0.1,0.1,0.1,10.0,0.133378,9.77468,10.0,4.52649
2.24957,0.304742;10.0,10.0,0.1,0.1,0.1,10.0,0.1,10.0,10.0,4.44032
2.25958,0.301151;7.16621,4.34141,1.70892,0.1,0.107028,10.0,0.1,10.0,10.0,0.241729
2.26356,0.30401;0.401072,0.258039,0.869174,1.39119,0.1,1.57361,0.260649,10.0,10.0,0.112398
2.26677,0.300064;7.16621,4.34141,1.70892,0.1,0.107028,10.0,0.1,10.0,10.0,0.234999
2.28924,0.303319;5.72018,4.34141,0.1,10.0,0.263907,10.0,0.81055,1.46871,10.0,0.382189
2.28871,0.303557;9.56038,6.0121,0.133949,8.69669,0.1,9.90602,0.252701,6.52922,10.0,0.258991
2.29552,0.303453;0.1,0.1,0.1,0.317779,2.61471,10.0,1.38111,0.1,10.0,0.1
2.30213,0.299727;5.72018,4.34141,0.122691,10.0,0.319499,10.0,0.139229,0.320926,10.0,0.382189
2.30666,0.30451;10.0,10.0,0.1,10.0,0.329372,0.101442,3.46156,10.0,0.579378,0.1
2.30702,0.304415;10.0,10.0,0.1,10.0,0.329372,0.1,3.46156,10.0,0.579378,0.1
2.30848,0.303729;0.1,0.1,0.1,0.283584,2.61471,10.0,1.37311,0.278789,10.0,0.1
2.31571,0.302329;0.1,0.1,0.1,0.283584,2.61471,10.0,1.31966,0.119972,10.0,0.1
2.32697,0.300134;0.1,0.1,0.161697,0.1,1.44901,6.61857,0.170698,0.1,10.0,1.45961
2.32795,0.300505;0.1,0.1,0.146271,0.1,2.58331,10.0,1.11766,0.1,8.41388,0.132755
2.32751,0.303093;0.1,0.1,0.103861,0.1,2.83122,10.0,0.1,0.125795,10.0,0.1
2.34059,0.302145;0.197903,0.129663,0.555455,0.365384,0.1,0.1,0.1,10.0,10.0,0.1
2.33932,0.304506;10.0,6.4227,0.1,9.65082,0.19738,10.0,0.1,6.90162,10.0,0.1
2.34916,0.302249;0.1,0.1,0.1,0.1,0.243166,1.649,0.273322,3.12467,6.27071,2.00256
2.35505,0.300673;10.0,6.4227,0.672821,8.84216,0.106549,10.0,0.145265,8.20989,10.0,0.201658
2.35661,0.302383;10.0,5.99843,0.268209,2.89817,0.1,10.0,0.1,10.0,10.0,0.1
2.36297,0.304627;0.1,0.1,0.1,0.124575,2.58331,10.0,1.11766,0.1,10.0,0.122139
2.3695,0.300251;5.72018,4.34141,0.1,10.0,0.263907,10.0,0.481185,1.46871,10.0,0.116755
2.36861,0.302086;0.1,0.1,0.1,0.1,2.58331,10.0,1.20196,0.1,10.0,0.222476
2.37243,0.304336;0.1,0.1,0.1,0.1,2.56588,10.0,1.27277,0.20858,9.6604,0.1
2.37849,0.303796;0.1,0.1,0.1,0.1,2.58331,10.0,1.11766,0.200815,10.0,0.1
2.37998,0.305153;7.16621,5.54142,0.1,10.0,0.123846,10.0,0.1,0.18929,6.85628,0.234999
2.38951,0.301532;0.1,0.1,0.1,0.541502,0.942696,4.73827,0.1,0.1,10.0,0.473073
2.39909,0.301991;2.56104,2.97487,0.230298,10.0,0.181127,0.1,0.1,10.0,8.23869,0.1
2.40846,0.300236;10.0,6.4227,0.615025,5.85404,0.209038,10.0,0.1,10.0,10.0,0.234504
2.41372,0.299694;10.0,6.26408,0.217979,5.23105,0.41814,10.0,0.1,10.0,10.0,0.1
2.41747,0.300469;10.0,6.4227,0.672821,5.85404,0.106549,10.0,0.1,10.0,10.0,0.201658
2.41966,0.299984;10.0,6.4227,0.687738,5.85404,0.1,10.0,0.1,10.0,10.0,0.201658
2.42396,0.304184;10.0,6.4227,0.287128,5.98111,0.190556,10.0,0.221624,10.0,10.0,0.1
2.42835,0.303887;10.0,6.4227,0.287128,5.85404,0.190556,10.0,0.178726,10.0,10.0,0.1
2.43323,0.302411;10.0,6.4227,0.411641,5.98111,0.1,10.0,0.221624,10.0,10.0,0.1
2.43664,0.300963;10.0,6.4227,0.294461,5.55431,0.1,9.13085,0.163234,10.0,9.5016,0.160135
2.44565,0.30059;10.0,6.4227,0.508531,5.85404,0.1,10.0,0.1,10.0,10.0,0.1
2.45329,0.302908;10.0,6.4227,0.1,4.7586,0.106549,10.0,0.1,10.0,10.0,0.107142
2.45695,0.302578;10.0,6.4227,0.1,4.7586,0.1,10.0,0.1,10.0,10.0,0.1
2.46122,0.300933;10.0,6.4227,0.142784,4.7586,0.1,10.0,0.1,10.0,10.0,0.111176
2.46908,0.299949;10.0,6.4227,0.1,4.76611,0.122496,10.0,0.113713,10.0,10.0,0.1
2.47088,0.299588;10.0,6.4227,0.142784,4.7586,0.1,10.0,0.1,10.0,10.0,0.1
2.47653,0.301173;0.374948,0.271656,0.108342,0.636051,0.1,4.26438,0.1,0.1,10.0,0.1
2.48256,0.301679;0.945093,0.596618,0.147083,0.1,0.1,0.1,0.1,9.73348,8.20131,0.1
2.47509,0.304844;1.77869,1.23252,0.1,0.1,0.161458,10.0,0.1,0.193208,10.0,0.1
2.4839,0.304724;10.0,6.65755,0.1,0.1,0.149242,10.0,0.152587,7.36021,6.37878,0.1
2.4848,0.302869;1.77869,1.23252,0.1,0.1,0.172004,10.0,0.1,0.193208,10.0,0.100816
2.49042,0.30145;1.77869,1.23252,0.1,0.1,0.182721,10.0,0.1,0.193208,10.0,0.106153
0.400854,0.30863;0.980803,0.1,0.1,0.1,10.0,1.20367,2.79223,1.39418,3.54674,2.23481
2.05285,0.309282;2.26544,2.65786,0.1,10.0,0.1,0.1,0.1,8.07062,10.0,0.31548
2.27962,0.307009;5.72018,4.34141,0.1,10.0,0.215882,10.0,0.81055,1.46871,10.0,0.382189
2.27903,0.309338;0.1,0.1,0.161976,0.1,1.44901,6.61857,0.1,0.1,10.0,1.45961
2.50437,0.306946;10.0,6.4227,0.118519,4.7586,0.106549,0.1,0.1,10.0,4.19149,0.1
0.401465,0.312658;10.0,0.421645,7.05693,0.1,0.140175,0.151492,10.0,0.1,4.7114,1.89562
2.49613,0.315066;10.0,7.26713,0.106574,10.0,0.209361,10.0,0.1,9.29807,10.0,0.1
0.400219,0.31848;2.14545,0.1,0.1,0.145776,7.42334,0.1,10.0,0.1,10.0,4.72344
2.49395,0.315577;10.0,7.26713,0.1,10.0,0.209361,10.0,0.1,9.29807,10.0,0.1
0.40316,0.324949;10.0,0.689655,2.652,10.0,10.0,7.12041,0.1,0.1,9.12672,4.49193
2.49408,0.323577;0.1,0.1,0.1,0.541502,0.1,4.73827,3.69737,0.1,10.0,0.473073
0.403791,0.326784;1.42003,0.82881,0.412231,0.232392,0.121827,0.120969,0.243693,0.1,0.1,0.1
2.48696,0.325872;0.212824,0.173441,0.186433,0.253868,0.16358,4.58481,0.1,0.291287,10.0,0.162202
0.403897,0.331199;4.38511,0.689655,1.06935,6.46831,10.0,7.12041,0.1,0.1,9.12672,4.49193
2.5004,0.33375;0.1,0.1,0.1,0.744842,0.1,0.863088,0.324227,6.70429,10.0,0.241235
0.401921,0.337582;2.35241,0.1,0.491618,0.1,10.0,3.82243,2.19107,0.433346,4.09911,2.23481
2.49673,0.338749;0.1,0.1,0.1,0.201151,0.617304,10.0,10.0,0.239632,10.0,0.1
0.401837,0.340018;1.45109,0.794646,1.53974,0.887172,10.0,0.1,0.232806,1.93725,5.72583,0.255301
2.49936,0.341287;0.1,0.1,0.1,0.1,0.617304,10.0,10.0,1.30756,10.0,0.104288
0.401078,0.349765;5.42752,0.1,0.1,7.97225,0.1,0.1,2.27527,1.45981,10.0,0.1
2.49779,0.347118;5.09629,5.89913,2.55894,10.0,0.1,10.0,0.1,0.18262,1.59465,0.1
0.404916,0.352055;2.14545,0.346587,0.449621,0.152456,6.66903,0.216342,10.0,0.199553,10.0,5.41456
2.49683,0.35374;10.0,9.371,0.1,9.21582,0.338637,0.137991,0.523019,10.0,3.02932,0.512613
0.402464,0.357089;4.38511,0.186628,0.903951,6.46831,1.76854,2.2288,0.206989,0.118913,10.0,1.67266
2.49754,0.356084;6.69317,5.72221,0.377538,1.43947,0.1,5.17669,0.173849,2.66672,1.47822,0.1
0.400241,0.364229;2.14545,0.132048,0.1,0.152456,6.66903,0.136098,10.0,0.229274,10.0,5.41456
2.50289,0.361664;5.72018,5.76127,0.1,10.0,0.1,10.0,0.81055,2.92857,6.06722,0.382189
0.400862,0.366412;2.14545,0.132048,0.619279,0.152456,6.66903,0.216342,10.0,0.1224,10.0,5.41456
2.48876,0.365918;0.1,0.1,0.301401,0.157187,0.1,5.0458,0.1,0.1,10.0,0.1
0.401287,0.374334;6.14877,0.436486,0.113928,10.0,0.153281,1.02982,10.0,0.1,10.0,7.74566
2.49791,0.373394;0.1,0.1,0.1,0.341492,0.170937,3.69225,0.257441,0.187937,10.0,0.337244
0.401057,0.377465;0.1,0.1,0.701532,0.1,10.0,0.586662,0.1,0.1,0.1,0.119609
2.49497,0.378358;0.1,0.1,0.1,0.305003,0.170937,3.69225,0.291164,0.576001,10.0,0.337244
0.400438,0.383439;0.559948,0.1,0.1,0.1,10.0,1.24985,10.0,10.0,0.493254,0.1
2.49777,0.381677;0.1,0.1,0.1,0.1,0.1,0.1,0.368242,10.0,10.0,1.6254
0.401447,0.385093;0.559948,0.1,0.141125,0.1,10.0,1.24985,10.0,10.0,0.493254,0.1
2.49531,0.387415;0.1,0.1,0.1,0.277514,0.1,3.69225,0.220433,0.10357,10.0,0.3023
0.403074,0.391597;0.1,0.1,0.253147,0.317779,2.61471,1.54435,0.955185,0.181783,0.129789,0.1
2.50192,0.392732;10.0,9.22374,0.672821,10.0,0.106549,10.0,0.429541,10.0,6.04326,0.201658
0.404729,0.396464;6.4697,0.1,0.1,10.0,0.155235,0.148854,1.10228,1.20319,10.0,0.1
2.49436,0.398867;0.1,0.135412,0.1,0.1,0.1,10.0,10.0,0.129954,0.1,0.1
0.401995,0.403326;10.0,0.152042,0.120356,10.0,0.1,0.1,0.1,0.416101,2.91299,0.1
2.49196,0.405027;0.323252,0.499626,0.158751,0.131418,1.84675,10.0,0.18093,0.1,1.60924,0.23622
0.401386,0.409582;0.1,0.1,0.1,0.1,10.0,10.0,0.333983,8.23843,7.30086,10.0
2.49456,0.409933;10.0,10.0,0.133021,10.0,0.280834,0.1,0.50507,10.0,2.44656,0.273841
0.40109,0.414252;10.0,0.1,3.50319,0.830176,10.0,9.2594,10.0,0.1,0.434435,0.258843
2.48961,0.411301;10.0,10.0,0.133021,10.0,0.280834,0.117176,0.50507,10.0,2.44656,0.273841
0.401984,0.418137;1.65178,0.1,1.19469,2.49602,7.98707,6.46851,0.1,0.1,0.350164,0.228945
2.50115,0.415287;10.0,10.0,0.842698,10.0,0.152735,0.1,0.205317,10.0,2.51062,0.291086
0.404442,0.42384;10.0,0.1,10.0,0.252689,6.48667,0.1,10.0,0.1,4.7114,2.6639
2.49312,0.421703;0.109907,0.1,0.1,0.3459,0.1,0.305629,0.105209,10.0,10.0,0.1
0.402303,0.426271;3.3764,0.283105,0.130569,0.1,0.141077,0.1,0.856975,0.1,0.256901,0.161316
2.50022,0.42718;8.20529,10.0,0.245584,0.162528,0.312821,0.141173,0.501476,4.98529,0.634973,0.173448
0.402891,0.430058;3.24657,0.253686,0.130569,0.1,0.141077,0.1,0.856975,0.1,0.256901,0.161351
2.49637,0.433776;10.0,10.0,0.842698,10.0,0.12082,0.438526,0.205317,10.0,2.44656,0.194495
0.400303,0.436961;10.0,0.1,2.29154,0.50016,0.1,0.1,10.0,0.1,4.7114,2.6639
2.49708,0.437915;10.0,10.0,0.842698,10.0,0.117422,0.1,0.1,10.0,2.44656,0.194495
0.403179,0.443907;10.0,0.1,0.127746,0.134972,10.0,0.231848,10.0,0.1,6.44811,3.77478
2.49845,0.442802;0.156032,0.242249,0.252958,0.853669,0.163729,0.635942,1.90423,10.0,1.00297,0.169545
0.402895,0.446796;10.0,0.1,0.1,0.1,10.0,0.231848,10.0,0.1,6.44811,3.77478
2.4981,0.445428;0.1,0.1,0.1,0.300349,0.1,0.863088,0.368242,10.0,10.0,0.1
0.401151,0.454616;10.0,0.12514,2.29154,0.268805,0.1,0.173483,10.0,0.1,4.7114,2.6639
2.4985,0.45265;0.1,0.1,0.1,0.213054,0.1,0.646111,0.1,10.0,10.0,0.142371
0.40264,0.455982;10.0,0.1,2.29154,0.268805,0.1,0.173483,10.0,0.1,4.7114,2.6639
2.49823,0.456366;10.0,10.0,0.1,10.0,0.280834,0.1,0.1,10.0,2.44656,0.1
0.400251,0.465311;5.17794,4.2309,0.3806,10.0,0.137721,1.34509,1.30315,0.1,0.224114,0.1
2.50878,0.462954;10.0,10.0,0.287855,0.135642,0.1,0.1,0.1,10.0,2.20055,0.1
0.400648,0.468172;10.0,0.165411,2.29154,0.1,0.1,0.173483,10.0,0.1,4.7114,2.6639
2.50655,0.463367;10.0,10.0,0.287855,0.1,0.1,0.1,0.1,10.0,2.20055,0.1
0.403963,0.471177;10.0,0.1,2.29154,0.1,0.165444,0.173483,10.0,0.1,4.7114,2.6639
2.49689,0.474634;10.0,10.0,0.174289,4.5499,0.169196,0.1,0.1,10.0,2.20055,0.1
0.402736,0.478155;10.0,7.93619,0.1,0.1,10.0,3.65433,0.1,0.333272,1.2577,0.1
2.49439,0.475324;10.0,10.0,0.174289,4.5499,0.169196,0.106047,0.1,10.0,2.20055,0.1
0.40258,0.483678;1.72595,0.104889,0.1,0.704083,10.0,3.89178,3.90781,5.07561,0.494303,0.251413
2.51646,0.481297;0.197148,1.59093,0.123515,10.0,0.294555,9.61114,0.273351,0.1,6.57657,0.1
0.400017,0.486704;0.1,0.100311,0.540604,0.178797,5.99791,0.1,3.96124,0.783425,0.984798,0.281833
2.49566,0.486662;9.06539,10.0,0.307868,6.68106,0.1,10.0,0.1,6.48523,3.256,0.113281
0.404966,0.494215;10.0,0.1,2.32067,0.369774,0.1,0.1,10.0,0.133468,4.7114,2.91346
2.50183,0.487584;0.197148,1.59093,0.123515,10.0,0.294555,9.61114,0.273351,0.278106,6.57657,0.1
0.403478,0.499823;10.0,0.1,5.29737,0.478003,7.18975,0.1,10.0,1.32491,4.48781,3.0866
2.49592,0.495734;4.38601,10.0,0.216084,10.0,0.120215,10.0,1.54753,0.293487,0.158385,0.1
0.401777,0.505003;10.0,1.32538,10.0,0.112353,0.842492,0.356762,10.0,0.171445,4.7114,3.17606
2.49912,0.503238;0.323252,0.499626,0.158696,0.1,1.1724,10.0,0.218842,0.288843,3.66953,0.351983
0.400577,0.50712;10.0,1.32538,10.0,0.1,0.549154,0.356762,10.0,0.1,4.7114,3.17606
2.50082,0.508613;4.38601,10.0,0.1,10.0,0.120215,10.0,1.54753,0.1,0.158385,0.1
0.401165,0.514946;0.1,0.1,0.14299,0.1,10.0,4.23448,2.79223,0.1,10.0,2.23481
