pos,rho;ad,an,bd,bn,cd,cn,dd,dn,ed,en
0.68571,0.302334;0.233472,0.1,0.1,0.1,2.58331,0.1,1.11766,0.1,10.0,0.132755
0.692312,0.303642;10.0,0.1,0.614583,10.0,0.1,2.22038,3.26201,0.1,8.74316,0.1
0.69921,0.300253;10.0,8.84538,7.53943,0.105305,10.0,0.1,10.0,0.258298,10.0,6.13124
0.704009,0.303854;10.0,3.51507,0.903951,0.243848,0.1,0.140269,0.515892,1.7036,10.0,0.483293
0.708057,0.302903;10.0,0.1,10.0,0.1,0.393029,1.9582,4.68705,0.1,6.87811,2.92607
0.713792,0.302583;1.16095,0.246007,0.1,0.274597,0.433196,0.691765,3.12093,0.1,4.20015,0.1
0.717554,0.301214;1.88276,0.368874,0.1,0.352327,0.1,0.1,0.1,0.348964,3.57547,0.1
0.722096,0.302024;0.278243,0.1,0.221841,0.1,0.221388,0.1,0.119485,0.1,1.64939,0.1
0.72975,0.303663;10.0,2.31717,1.24867,0.966569,10.0,0.1,0.165362,0.632749,10.0,5.54214
0.73462,0.304097;10.0,0.158793,1.46136,9.54513,0.1,2.56674,0.1,0.182451,10.0,0.1
0.739305,0.304631;10.0,0.1,0.1,0.1,10.0,0.231848,0.1,0.1,10.0,3.77478
0.741691,0.303728;1.50185,0.1,10.0,1.43645,0.1,10.0,0.1,0.1,10.0,1.81444
0.745547,0.300672;10.0,0.1,10.0,0.152994,0.1,10.0,10.0,0.158532,0.445128,0.206757
0.751335,0.30468;10.0,0.1,0.1,10.0,10.0,10.0,9.19492,0.1,10.0,0.33061
0.756722,0.300631;5.31531,0.1,10.0,0.50345,10.0,10.0,0.1,3.19586,5.16771,0.1
0.762133,0.300396;1.82071,0.1,3.31643,0.220371,10.0,10.0,0.501612,1.79449,10.0,0.653297
0.768843,0.3045;0.1,0.1,0.1,0.1,0.247396,0.1,0.309775,0.1,0.1,0.1
0.771803,0.302787;10.0,1.23252,0.185301,10.0,0.1,0.887039,0.1,0.327127,5.29223,0.152246
0.777556,0.301139;1.04609,0.1,10.0,1.44447,1.33646,10.0,9.62148,8.91701,10.0,0.619207
0.78365,0.303082;10.0,10.0,10.0,10.0,2.27467,2.974,0.1,0.1,10.0,6.87807
0.788679,0.304536;10.0,0.164999,2.36631,2.49602,9.19067,10.0,6.43056,0.963486,0.350164,0.1
0.790889,0.304786;0.340184,0.155828,0.1,0.1,0.1,0.1,1.48099,0.1,0.392248,0.1
0.799296,0.303621;6.4697,1.17291,0.298519,1.19473,0.1,0.296763,0.323717,0.168596,10.0,0.1
0.80222,0.300234;10.0,10.0,10.0,10.0,1.07558,0.1,0.759435,0.1,0.1,0.1
0.807946,0.304815;10.0,3.36423,0.903951,0.207203,0.1,0.1,0.583748,0.719604,10.0,0.255301
0.81053,0.300714;10.0,3.36423,0.903951,0.168815,0.1,0.1,0.687453,0.719604,10.0,0.255301
0.818158,0.302751;1.72761,0.1,0.1,0.1,10.0,10.0,10.0,0.1,1.70984,0.516707
0.823087,0.300519;9.62165,10.0,0.1,0.1,5.42573,9.31301,0.148236,0.1,1.14118,1.61081
0.828474,0.300292;3.04149,0.1,10.0,0.1,0.289566,0.598447,0.1,0.1,3.48029,1.34546
0.830731,0.3027;10.0,3.62588,0.1,0.1,0.1,0.1,0.1,0.234715,5.28376,0.411454
0.835093,0.301992;5.61577,1.71147,0.1,0.312659,0.259269,0.1,0.1,0.159838,10.0,0.450311
0.841194,0.302491;10.0,0.755171,1.77519,10.0,2.73797,3.42416,1.09839,3.96259,10.0,0.107889
0.84918,0.301032;1.40429,0.1,0.1,0.1,10.0,10.0,10.0,1.61647,10.0,0.967817
0.854915,0.301697;6.96578,0.387178,2.95949,1.04189,10.0,0.216454,0.1,3.43493,8.21851,3.3582
0.859392,0.301698;1.88813,0.210931,10.0,0.186278,0.1,10.0,0.216127,0.1,10.0,1.07552
