pos,rho;ad,an,bd,bn,cd,cn,dd,dn,ed,en,fd,fn,gd,gn
0.615861,0.304276;0.193574,0.1,0.1,0.1,10.0,0.1,1.29788,0.12433,5.17811,0.1,0.2506,0.794646,0.503394,0.1
0.623083,0.302192;0.193574,0.1,0.1,0.14053,10.0,0.1,1.29788,0.129547,1.22058,0.15446,0.2506,0.794646,0.503394,0.1
0.626453,0.302982;5.44627,0.169312,0.470125,5.56682,0.1,0.530851,0.1,0.123699,0.298048,0.1,1.33646,0.1,10.0,2.12738
0.630982,0.302003;2.70309,1.43549,1.37082,0.1,10.0,2.57462,10.0,0.1,5.45024,0.370813,10.0,0.325993,6.83484,0.150651
0.637693,0.303828;0.389192,0.1,0.232594,0.1,0.1,0.33267,0.76074,0.1,10.0,2.2039,2.05454,0.1,9.85168,0.26719
0.642936,0.303328;5.44627,0.24974,0.144139,5.56682,0.1,0.204024,0.1,0.11545,0.298048,0.110561,0.300683,0.1,9.66799,1.34058
0.647846,0.304083;2.81992,1.43549,0.967458,0.1,10.0,0.593202,10.0,0.1,0.1,0.279125,9.4862,1.66324,3.89543,0.1
0.652991,0.300744;2.70309,1.43549,1.51098,0.1,8.81372,2.511,8.74476,0.1,5.45024,0.464412,10.0,0.278358,6.83484,0.1
0.658466,0.303257;10.0,0.683138,1.30368,9.12255,0.737715,4.34037,10.0,0.355048,0.1,0.174862,0.442464,0.1,0.236319,0.1
0.663985,0.300604;2.70309,1.43549,0.171974,0.161645,10.0,1.08084,2.3004,0.1,0.1,0.1,10.0,1.00917,1.27288,0.1
0.669256,0.301424;10.0,0.16001,0.215392,10.0,0.116225,0.687406,0.703999,0.1,10.0,2.19373,0.16578,0.1,10.0,4.15234
0.670387,0.304434;0.277246,0.1,0.275719,0.1,0.428892,0.861304,10.0,0.1,10.0,1.15441,0.1,0.1,10.0,0.364361
0.676618,0.304462;2.81992,1.43549,0.967458,0.1,10.0,0.593202,10.0,0.1,0.1,0.1,9.4862,0.545586,3.89543,0.1
0.683738,0.300128;10.0,0.1176,0.215392,10.0,0.1,0.687406,0.835883,0.240094,10.0,2.02673,0.1,0.1,10.0,3.88993
0.687256,0.300741;2.70309,1.43549,0.1,0.186722,10.0,1.76802,10.0,1.76802,5.45024,0.227679,10.0,0.867776,0.396343,0.1
0.692384,0.302692;10.0,0.911886,0.376352,10.0,10.0,10.0,10.0,0.773253,2.53513,0.17865,0.796613,0.1,2.33303,0.249888
0.699076,0.300627;0.231349,0.1,0.161488,0.11413,1.88507,0.1,0.142066,0.479852,10.0,0.1,0.1,0.10137,5.52271,0.1
0.70352,0.30361;0.231349,0.1,0.161488,0.11413,1.88507,0.1,0.142066,0.479852,10.0,0.1,0.1,0.1,6.98766,0.1
0.710108,0.303136;10.0,0.186845,0.215392,10.0,0.1,0.687406,0.436865,0.240094,10.0,2.02673,0.1,0.184245,10.0,3.88993
0.710998,0.302928;10.0,0.16001,0.215392,10.0,0.1,0.687406,0.436865,0.240094,10.0,2.02673,0.1,0.1,10.0,3.88993
0.717704,0.304449;0.159241,0.1,0.174869,0.218089,8.76746,0.1,0.32948,0.1,0.505782,0.1,0.1,0.449572,0.350669,0.205518
0.72324,0.300098;1.6346,0.1,0.416471,0.814756,1.21003,0.1,0.262074,1.0721,2.42649,1.39746,9.99625,1.22657,10.0,6.07967
0.724881,0.304955;1.74126,0.780968,0.1,2.97652,0.1,1.91833,5.66642,0.1,0.1,0.114782,0.1,10.0,10.0,3.06811
0.731651,0.302697;10.0,0.318465,10.0,8.94076,1.23962,10.0,0.359979,0.1,0.1,0.115471,0.1,0.1,10.0,0.1
0.737672,0.301946;10.0,0.16001,0.257616,10.0,0.107443,0.687406,0.436865,0.518342,10.0,2.02673,0.1,0.237436,5.35522,0.1
0.741326,0.303979;4.83904,1.26669,0.1,10.0,10.0,10.0,0.456374,0.1,10.0,0.1,0.1,0.849998,10.0,0.452318
0.748902,0.303683;8.89421,0.115352,10.0,7.6388,0.1,10.0,10.0,2.20229,0.1,2.96636,0.15354,0.1,10.0,0.1
0.754125,0.300873;0.873681,0.326117,0.1,0.1,2.01831,0.1,0.1,0.1,0.1,2.81391,10.0,0.438993,10.0,0.1
0.756556,0.302441;10.0,0.1,0.672968,10.0,10.0,4.34037,10.0,10.0,0.1,1.19243,10.0,0.1,10.0,0.1
0.763875,0.302079;10.0,3.51722,0.273209,1.35024,10.0,0.506826,0.130308,0.1,10.0,2.36358,0.1,0.1,8.67396,0.1
0.766517,0.303983;0.375768,0.1,0.182909,0.1,10.0,10.0,1.80042,0.1,10.0,0.532376,0.709542,0.1,5.46219,3.19487
0.773664,0.302351;10.0,0.1,0.215392,10.0,0.1,0.687406,0.436865,0.240094,10.0,2.78002,0.1,0.1,10.0,2.18555
0.776704,0.303093;2.70309,1.43549,0.268081,0.1,10.0,1.41605,0.1,0.1,0.1,0.1,10.0,0.1,10.0,0.649606
0.784895,0.302788;2.70309,1.43549,0.1,0.1,10.0,1.41605,10.0,0.1,0.1,0.1,10.0,0.1,9.57036,1.77244
0.789396,0.304218;2.70309,1.43549,0.1,0.158744,10.0,1.41605,10.0,0.1,0.422327,0.1,10.0,0.269902,9.57036,1.77244
0.795055,0.300469;10.0,0.1,0.258618,10.0,0.550463,0.814704,0.1,0.1,10.0,3.90136,0.150996,0.1,10.0,0.283811
0.799622,0.300828;10.0,1.77563,0.1,0.101244,10.0,0.4254,0.1,3.79061,1.85187,0.1,0.1,0.1,5.46219,0.100133
0.800921,0.304743;8.0086,1.44693,0.1,0.1,0.371651,0.1,10.0,0.1,1.97632,0.322045,10.0,5.7102,0.610323,0.1
0.807458,0.304123;10.0,0.1,0.417684,10.0,0.342908,0.814704,0.126413,0.1,9.39778,3.90136,0.1,0.1,10.0,0.324379
0.812423,0.302981;0.717247,0.1,0.1,0.1,0.1,0.49045,0.1,0.386698,6.62774,0.392436,8.57907,0.1,10.0,0.265941
0.818555,0.3005;0.922415,0.30332,0.127431,0.1,0.1,0.1,10.0,0.1,4.78551,0.1,6.08373,0.395382,10.0,0.1
0.824161,0.303911;0.277246,0.1,0.118574,0.1,0.321466,0.1,6.53162,0.1,10.0,0.1,0.324756,0.68346,2.54795,0.142266
0.828319,0.301498;10.0,0.16001,0.222283,10.0,0.1,1.26685,0.436865,0.1,10.0,2.02673,0.1,0.1,10.0,1.65883
0.832929,0.301487;0.277246,0.1,0.118574,0.1,0.1,0.1,6.53162,0.212107,10.0,0.358631,0.1,0.1,1.3791,0.356948
0.838071,0.304174;1.82463,0.317416,0.1,0.1,0.1,0.1,0.1,0.991458,0.609933,0.12117,10.0,0.1,10.0,0.194627
0.840353,0.304808;3.90273,1.43549,1.37082,0.1,0.1,1.81982,10.0,0.1,5.45024,0.266792,10.0,0.714292,3.45407,0.162706
0.847135,0.303153;3.90273,1.43549,1.37082,0.1,0.1,1.25808,10.0,0.39297,5.45024,0.1,9.91682,0.714292,5.8801,0.162706
0.854117,0.304166;10.0,0.911886,0.1,10.0,10.0,10.0,10.0,3.95876,2.53513,0.159621,0.59523,4.08687,10.0,0.176066
0.856444,0.302878;0.30448,0.1,0.1,0.145393,1.15328,0.1,0.1,0.151413,0.1,0.1,4.29477,0.1,1.58743,0.133852
0.860226,0.302478;10.0,0.911886,0.141319,10.0,10.0,10.0,10.0,3.95876,1.99588,0.159621,0.59523,4.08687,10.0,0.1
0.86845,0.303784;10.0,0.1,0.1,10.0,0.1,0.814704,0.1,0.1,10.0,3.38754,1.01457,0.1,8.99369,0.283811
0.873938,0.304515;10.0,0.1,0.258618,10.0,0.1,0.814704,0.1,0.1,10.0,3.90136,0.63457,0.1,10.0,0.283811
0.878681,0.300788;1.24105,0.212658,3.97171,0.958,0.1,0.128832,0.1,0.1,0.1,0.1,0.1,0.1,10.0,0.1
0.883057,0.300518;10.0,1.43549,0.146561,2.98646,4.15651,0.1,3.17271,0.146049,6.56185,0.1,10.0,0.1,10.0,0.422459
0.888092,0.300422;10.0,10.0,0.982559,10.0,1.19432,10.0,10.0,0.1,0.25048,10.0,3.00616,10.0,0.584457,0.1
0.891874,0.302785;10.0,10.0,0.1,9.47905,0.1,0.402434,5.14822,10.0,10.0,10.0,0.1,1.33921,4.12474,4.27848
0.898243,0.303232;2.70309,0.1,0.310289,0.1,10.0,0.619507,10.0,0.1,0.331673,10.0,10.0,0.1,0.292193,0.1
0.900016,0.304378;2.70309,0.1,0.661136,0.115209,10.0,0.619507,10.0,0.363379,0.460597,10.0,10.0,0.1,0.292193,0.1
0.907636,0.302138;10.0,0.1,0.846552,0.1,10.0,2.78504,10.0,7.13883,0.1,0.249404,0.149456,0.1,1.52146,0.1
0.911628,0.304431;10.0,1.59928,0.1,1.71917,0.1,0.1,0.1,2.11596,0.1,2.00188,9.74231,0.136663,10.0,5.67475
0.920151,0.300401;4.87359,0.1,5.52717,0.1,10.0,10.0,4.08175,0.1,10.0,10.0,10.0,0.1,10.0,3.74658
0.92024,0.305085;0.1,0.100347,0.1,0.1,10.0,10.0,0.1,0.637447,1.97045,10.0,10.0,10.0,0.1,0.1
0.92665,0.300938;10.0,0.1,10.0,7.47295,0.1,10.0,0.454209,0.1,0.164432,0.1,10.0,0.640438,1.80145,0.1
0.934163,0.301425;10.0,0.153524,1.99277,0.1,0.1,0.1,3.91902,0.105802,0.1,0.241252,0.1,0.1,10.0,2.48571
0.937106,0.303224;8.02684,0.1,10.0,0.293437,10.0,10.0,10.0,8.79629,1.09314,0.1,0.1,0.201992,6.40133,0.160273
0.942275,0.302482;0.626357,0.1,0.176499,0.482839,10.0,10.0,0.1,0.1,0.190429,0.1,10.0,0.165054,10.0,0.1
0.948384,0.303131;8.90186,0.1,0.1,7.46906,0.172101,0.1,0.239914,1.2619,10.0,0.1,10.0,10.0,8.7842,4.15189
0.952258,0.303873;2.67993,1.3928,0.1,0.1,0.1,0.1,0.1,0.112325,0.907084,3.44402,3.30516,0.1,0.1,0.1
0.957631,0.304871;10.0,7.91529,0.1,8.74953,10.0,10.0,0.1,10.0,10.0,10.0,10.0,10.0,10.0,10.0
0.963138,0.300698;0.591961,0.1,3.87474,0.1,0.320055,10.0,10.0,0.1,0.283923,0.1,10.0,1.38323,1.88456,0.1
0.969216,0.300102;10.0,0.1,0.1,0.1,10.0,10.0,5.78469,0.247549,10.0,4.96513,2.28048,1.30831,10.0,2.24226
0.970108,0.303042;0.1,0.1,0.1,0.1,10.0,0.1,0.156933,10.0,10.0,0.207822,4.16535,10.0,0.392742,0.1
0.978318,0.302594;4.49122,0.1,0.1,0.1,10.0,10.0,10.0,4.50921,0.1,0.259557,10.0,0.1,10.0,0.1
0.982692,0.304778;9.68714,0.372189,0.1,0.1,10.0,0.1,0.178753,0.1,10.0,0.1,10.0,10.0,10.0,0.136872
0.989579,0.30081;3.4393,2.30457,0.1,0.1,0.1,2.56275,6.11331,2.03364,0.1,10.0,10.0,1.09321,10.0,10.0
0.991645,0.300066;3.37877,0.1,0.112117,0.1,0.1,0.1,10.0,0.90975,0.182889,6.20257,10.0,0.958567,10.0,1.79057
0.9958,0.302769;10.0,0.152276,10.0,0.11861,4.87796,0.1,2.26849,0.1,0.1,1.17312,10.0,6.46851,10.0,0.1
1.00068,0.30109;4.95637,0.1,0.370351,0.108371,4.61682,0.1,10.0,10.0,3.78875,0.13818,0.804121,0.164991,10.0,0.54715
1.00571,0.302784;7.57518,0.255441,0.1,0.1,1.93156,0.1,10.0,0.1,2.98598,10.0,7.30889,0.1,10.0,0.385613
1.0112,0.301128;10.0,10.0,0.1,1.42208,0.1,0.1,10.0,0.143679,0.554859,0.121806,8.98286,10.0,10.0,10.0
1.01724,0.302126;5.22709,0.1,0.165483,0.108096,0.1,1.07387,10.0,0.154725,10.0,10.0,10.0,2.50889,10.0,0.1
1.0228,0.304503;10.0,7.53068,0.1,0.1,0.432325,0.95525,1.6943,0.112754,5.91456,0.1,5.9209,2.38435,10.0,7.64888
1.02681,0.301243;10.0,0.118893,10.0,0.249584,10.0,0.224436,10.0,0.152627,0.209558,10.0,0.246135,0.1,10.0,0.103974
1.03185,0.301575;10.0,0.1,0.1,0.1,0.151044,10.0,10.0,0.71105,6.60946,0.1,1.53214,0.258244,10.0,2.42309
1.0381,0.303378;10.0,0.105272,2.82244,0.976613,0.1,10.0,10.0,0.1,0.567736,1.09124,1.09537,0.1,5.99128,0.1
1.04358,0.303627;10.0,0.1,10.0,0.7066,0.123294,10.0,10.0,0.1,10.0,10.0,6.58243,1.47816,10.0,0.257487
1.05049,0.30342;10.0,0.1,0.914359,6.49514,0.224285,10.0,10.0,0.1,6.77799,0.1,10.0,0.154545,10.0,0.678266
1.05092,0.301978;10.0,0.1,0.113463,0.476877,0.624046,10.0,10.0,0.1,0.284513,1.1858,10.0,0.1,3.07072,0.1
1.05555,0.303465;0.742431,0.1,0.354925,0.168137,7.46448,0.199035,0.514845,10.0,2.09628,0.1,10.0,0.1,0.778638,0.1
1.0628,0.302297;10.0,0.1,0.1,0.1,0.519728,10.0,4.53609,0.1,10.0,0.1,0.111298,0.905335,10.0,0.1
1.06738,0.303155;10.0,0.595356,0.171711,0.1,10.0,10.0,0.351776,0.628418,0.1,1.11428,0.134751,0.35067,10.0,0.51545
1.07295,0.301917;0.1,0.1,1.01259,1.224,0.130939,4.92911,2.24655,0.1,0.77649,0.1,0.1,0.14521,10.0,5.97758
