pos,rho;ad,an,bd,bn,cd,cn,dd,dn,ed,en,fd,fn,gd,gn
1.32852,0.301846;10.0,1.26157,0.350444,0.707996,0.1,10.0,0.525997,0.1,0.293726,0.45199,10.0,0.178091,8.13966,0.181859
1.33343,0.300044;3.90747,0.889537,0.666878,0.1,0.1,1.3981,0.103502,0.120446,1.23046,0.1,0.575006,5.10656,10.0,1.05404
1.3347,0.301778;10.0,1.77198,6.4895,10.0,10.0,10.0,0.1,5.60681,6.21869,10.0,10.0,10.0,10.0,0.160768
1.34247,0.303855;10.0,3.78428,0.1,2.05324,0.1,0.210203,0.1,0.1,10.0,10.0,0.1,0.1,1.38269,0.343417
1.34982,0.304205;10.0,1.26157,0.462644,1.14333,0.1,10.0,0.1,0.15744,0.851536,0.854356,10.0,0.198015,10.0,0.181859
1.35225,0.301326;10.0,1.26157,0.221105,1.14333,0.391879,10.0,0.223287,0.263184,0.1,0.302398,10.0,0.198015,10.0,0.181859
1.35699,0.302449;0.19411,0.1,0.1,0.1,1.83911,4.00836,3.91902,0.1,0.1,10.0,0.131302,2.39123,10.0,0.1
1.36007,0.301403;10.0,1.40459,1.45337,10.0,0.1,0.150165,10.0,10.0,3.75115,10.0,10.0,1.27828,10.0,0.213348
1.36872,0.303612;10.0,1.26157,0.221105,1.14333,0.34137,10.0,0.1,0.1,0.293726,0.45199,10.0,0.699188,10.0,0.1
1.37071,0.301454;10.0,1.26157,0.1,1.14333,0.1,10.0,0.223287,0.1,0.660022,0.670479,10.0,0.1,10.0,0.1
1.37877,0.30445;8.45652,10.0,0.1,0.1,10.0,10.0,0.1,10.0,0.115916,8.02958,10.0,10.0,10.0,10.0
1.38378,0.300989;0.23276,0.1,0.1,0.1,10.0,3.38417,10.0,0.323361,3.78369,10.0,0.1,10.0,10.0,0.931106
1.38671,0.302554;10.0,1.84551,0.1,0.1,0.1,0.526837,1.59592,5.44084,9.77594,10.0,10.0,2.32687,8.66929,0.1
1.395,0.304243;10.0,1.77198,6.4895,1.88047,3.57874,5.83036,0.1,8.33747,5.81628,0.1,10.0,10.0,10.0,0.160768
1.39644,0.303245;0.575413,0.1,1.07576,0.879326,0.370739,1.77628,0.1,0.271101,10.0,10.0,0.1,0.739506,10.0,0.1
1.40393,0.300091;7.2158,2.07957,0.85556,0.576532,10.0,1.70791,0.1,0.1,0.639358,4.03003,0.251394,0.21575,1.25666,0.1
1.40483,0.302619;10.0,1.76284,0.1,0.1,0.598379,10.0,0.1,0.432519,10.0,1.15107,10.0,10.0,10.0,0.1
1.41283,0.302784;0.1,0.1,0.1,0.204946,3.80948,0.232548,10.0,0.624297,10.0,0.903241,3.02198,10.0,0.339846,0.1
1.42009,0.303409;10.0,1.92927,6.4895,2.14897,0.1,10.0,0.1,5.60681,10.0,0.1,10.0,10.0,8.73389,0.160768
1.42205,0.300686;10.0,1.92927,6.4895,2.14897,0.1,10.0,0.260534,5.60681,10.0,0.1,10.0,10.0,8.73389,0.160768
1.42683,0.305161;10.0,1.92927,3.35349,0.1,0.1,10.0,0.1,10.0,10.0,0.1,10.0,0.1,10.0,0.1
1.42935,0.300809;0.389208,0.14977,0.1,0.1,0.120881,0.1,10.0,5.29482,5.67356,10.0,0.1,10.0,10.0,0.1
1.43771,0.300767;2.73304,0.707811,0.1,0.1,0.1,0.1,9.35178,10.0,0.1,0.116223,0.1,1.5167,8.45634,0.333441
1.44271,0.302504;3.73102,0.736168,10.0,1.39316,10.0,6.54102,0.966432,0.134238,1.47341,1.08709,0.1,10.0,10.0,0.135928
1.44817,0.301718;10.0,2.68831,0.200186,0.1,0.1,10.0,1.90666,0.1,4.21714,0.491311,0.199298,0.1,1.5688,0.1
1.45459,0.300093;10.0,1.2593,0.212698,10.0,0.203995,0.1,0.156232,0.1,2.48267,10.0,10.0,0.753855,10.0,0.114888
1.45878,0.302723;10.0,1.82081,0.1,1.23097,0.1,0.18229,1.47253,0.143463,5.59818,0.1,0.1,10.0,10.0,0.1
1.46309,0.300756;10.0,1.82081,0.123522,1.23097,0.235434,0.274543,1.47253,0.180293,5.59818,0.1,0.1,10.0,10.0,0.1
1.46484,0.300714;10.0,3.59088,0.359346,10.0,0.430375,10.0,10.0,2.36222,0.1,1.81515,0.1,1.93792,10.0,0.873407
1.47213,0.304021;10.0,2.68831,0.200186,0.310027,0.1,10.0,0.7881,0.222806,5.18833,0.149653,0.252354,0.395601,2.05711,0.125736
1.47535,0.302483;10.0,2.68831,0.200186,0.310027,0.1,10.0,0.7881,0.180547,5.18833,0.28542,0.252354,0.25186,2.05711,0.125736
1.4802,0.304608;10.0,2.68831,0.200186,0.294516,0.1,10.0,0.280515,0.137138,5.18833,0.1,0.285919,0.1,2.05711,0.125736
1.48665,0.303719;10.0,1.82683,0.1,4.70249,2.5667,10.0,0.216272,0.1,10.0,10.0,10.0,0.464727,10.0,0.1
1.49219,0.301062;10.0,3.06158,2.77099,8.69836,0.1,7.74438,10.0,10.0,0.1,3.80063,10.0,0.33414,4.81508,0.473441
1.49945,0.300126;10.0,7.53068,0.1,0.137723,0.348009,0.95525,2.97112,0.130109,10.0,0.188009,10.0,0.1,10.0,10.0
1.50314,0.300226;10.0,3.78428,0.255124,0.1,0.1,0.1,0.1,0.1,10.0,10.0,0.1,0.1,1.38269,0.160033
1.50847,0.300701;10.0,2.59318,0.280387,0.876771,0.61317,10.0,1.17349,0.1,10.0,0.1,0.1,10.0,10.0,0.457915
1.51012,0.302349;10.0,2.07719,0.1,0.1,1.49335,0.118576,0.195969,10.0,1.50624,0.1,0.526376,0.207475,10.0,0.1
1.52002,0.301486;10.0,3.06158,1.9299,9.02472,0.125278,8.02308,10.0,10.0,0.859248,2.74885,10.0,0.247904,4.32416,0.331028
1.5255,0.303182;10.0,3.06158,1.9299,8.69836,0.1,8.02308,10.0,10.0,0.513656,2.74885,10.0,0.33414,4.32416,0.331028
1.5296,0.3043;0.278978,0.336159,0.590778,0.1,0.1,10.0,10.0,1.58364,0.1,0.271679,10.0,0.913382,0.120905,0.280888
1.53636,0.302408;10.0,1.92927,10.0,5.71491,0.1,10.0,0.1,10.0,0.402179,0.1,10.0,0.221258,10.0,0.1
1.53999,0.303189;10.0,3.95032,10.0,10.0,1.51742,10.0,0.1,10.0,10.0,10.0,10.0,0.1,0.174894,0.1
1.54037,0.305539;10.0,2.98007,10.0,0.1,4.38062,2.86168,0.1,10.0,0.1,10.0,10.0,0.855537,10.0,0.1
1.55199,0.303311;10.0,2.00014,0.1,10.0,0.193412,0.650454,0.535213,10.0,10.0,0.1,1.07367,0.1,10.0,0.1
1.55117,0.301523;10.0,1.84551,0.1,10.0,0.1,0.526837,0.969068,5.44084,10.0,10.0,10.0,2.32687,9.84841,0.1
1.55963,0.302062;2.55732,0.982252,0.137663,0.1,9.90618,10.0,0.613787,0.1,0.643901,10.0,1.36215,0.254053,5.04112,0.1
1.56497,0.303414;0.242445,0.131363,0.459131,0.145678,2.02464,10.0,10.0,0.799177,0.155332,0.1,8.92525,0.1,0.1,0.1
1.56937,0.300455;10.0,2.00014,0.755164,10.0,0.125833,0.1,0.1,10.0,10.0,1.14981,0.1,0.1,10.0,0.118833
1.57268,0.300651;2.70309,1.77478,0.242267,0.136946,0.1,0.457519,0.130358,0.245513,5.45024,0.1,0.112188,0.341039,0.1,0.1
1.57698,0.301133;0.242445,0.131363,0.459131,0.145678,2.02464,10.0,10.0,0.799177,0.142692,0.1,8.92525,0.1,0.230953,0.1
1.57891,0.301685;7.91019,1.02738,0.460498,3.87479,0.142627,0.180018,0.217954,0.1,0.612707,6.79529,0.365155,0.1,10.0,0.1
1.59026,0.299961;10.0,2.68831,0.941333,1.49005,0.224105,10.0,0.368981,0.104889,3.65428,0.1,0.1,0.628165,4.07784,0.139136
1.59568,0.30395;10.0,3.97297,0.130251,0.221091,0.1,10.0,0.607708,10.0,10.0,0.1,10.0,0.1,1.93069,0.509413
1.59927,0.302843;7.38881,1.92927,4.63904,1.82849,0.1,5.03544,0.1,8.39602,10.0,0.1,3.49119,9.0504,10.0,0.1
1.60435,0.301773;0.238815,0.1,0.1,0.746858,0.31014,1.75232,0.241813,1.54885,10.0,0.307227,10.0,0.233902,0.1,0.1
1.61015,0.304867;10.0,2.98007,5.53967,0.1,0.299363,0.662141,0.1,10.0,0.259996,7.87385,10.0,0.351003,10.0,0.194967
1.61251,0.300409;10.0,2.99993,10.0,0.651459,0.1,10.0,10.0,0.168284,0.1,10.0,0.532953,4.58685,10.0,0.1
1.61696,0.301235;10.0,2.68831,0.941333,2.48047,0.453196,10.0,0.368981,0.104889,3.39431,0.1,0.1,0.350889,4.08159,0.1
1.62103,0.300839;10.0,2.98007,5.53967,0.1,0.299363,0.662141,0.1,10.0,0.1,7.87385,10.0,0.139155,10.0,0.194967
1.62581,0.303961;0.389772,0.1,0.275719,0.1,0.1,0.1,0.1,1.14917,0.1,1.36894,0.1,0.823033,10.0,0.258867
1.63263,0.302567;2.40126,1.17947,0.268532,1.31139,10.0,0.1,0.223396,10.0,0.1,10.0,10.0,0.1,0.132297,0.1
1.63711,0.301453;0.171554,0.1,0.454728,0.313105,1.58694,10.0,10.0,0.14856,10.0,0.758309,0.178393,2.90147,3.23393,0.257487
1.64243,0.300782;10.0,2.62273,0.1,2.78389,4.6696,10.0,0.1,10.0,10.0,5.44776,10.0,0.117643,10.0,0.1
1.64698,0.303952;0.500256,0.169501,0.692171,0.194299,0.390996,3.5324,0.1,0.1,0.140032,0.969955,10.0,0.115918,4.02293,0.1
1.65388,0.301403;10.0,2.22957,0.1,10.0,0.1,0.1,0.1,0.1,0.234036,10.0,10.0,1.69673,10.0,0.461725
1.65767,0.303647;0.490294,0.169501,0.692171,0.330648,0.307187,3.5324,0.1,0.100119,0.118608,0.174288,10.0,0.1,2.83713,0.1
1.66122,0.303829;0.500256,0.169501,0.692171,0.288065,0.307187,3.5324,0.1,0.1,0.1,0.446434,10.0,0.1,4.02293,0.1
1.67109,0.30476;10.0,3.39731,0.1,1.87336,1.41179,10.0,0.122607,10.0,8.54692,1.06324,10.0,0.1,8.09951,0.67088
1.68105,0.304339;10.0,3.22369,0.134053,0.1,0.12901,10.0,10.0,10.0,0.265162,0.1,0.1,0.1,10.0,0.242164
1.68211,0.302765;10.0,3.22369,0.1,0.1,0.322651,10.0,10.0,10.0,0.265162,0.1,0.1,0.283111,10.0,0.242164
1.68908,0.30198;10.0,1.89298,10.0,8.85317,0.1,0.154415,0.1,10.0,0.373572,10.0,10.0,0.640438,10.0,0.101509
1.69077,0.301085;10.0,2.98007,2.28687,0.1,0.299363,0.247809,0.1,10.0,0.182299,7.01562,10.0,0.1,10.0,0.194967
1.69933,0.303745;0.1,0.1,0.356539,0.900082,0.667863,4.64303,0.967592,0.1,1.72089,0.1,0.1,0.176182,10.0,0.14282
1.70299,0.300876;10.0,1.85447,10.0,10.0,0.1,0.210407,0.1,10.0,0.373572,10.0,10.0,0.640438,10.0,0.1
1.70608,0.304224;10.0,3.22369,0.1,0.1,0.1,10.0,10.0,10.0,0.1,0.1,0.223106,0.1,9.58152,0.127221
1.71526,0.303604;10.0,3.22369,0.1,0.25824,0.1,10.0,10.0,10.0,0.1,0.152793,0.223106,0.261409,10.0,0.127221
1.72078,0.300028;10.0,3.22369,0.1,0.1,0.1,10.0,10.0,10.0,0.1,0.1,0.1,0.1,10.0,0.127221
1.72364,0.304431;10.0,3.22369,0.1,0.521935,0.185345,10.0,10.0,10.0,0.1,0.236287,0.271663,0.424993,10.0,0.1
1.72866,0.300644;10.0,2.93686,0.1,0.1,0.1,10.0,0.202437,0.1,4.5412,10.0,10.0,0.356052,10.0,0.149665
1.73078,0.301197;0.1,0.232017,0.1,0.261835,10.0,10.0,4.50274,0.1,10.0,0.1,0.1,6.75227,0.1,0.1
1.73666,0.300348;10.0,3.39731,0.131795,0.1,0.750125,10.0,0.122607,10.0,6.73119,1.06324,10.0,0.1,10.0,0.482303
1.74235,0.303542;0.114336,0.1,0.1,0.1,4.13716,10.0,0.1,0.452138,0.244102,0.22146,0.548871,0.312,10.0,0.1
1.74634,0.302746;0.114336,0.1,0.1,0.1,4.13716,10.0,0.1,0.452138,0.244102,0.185007,0.548871,0.286591,10.0,0.1
1.75393,0.302057;5.50571,2.09084,0.310095,10.0,0.1,0.395014,0.45779,10.0,9.79359,2.21668,10.0,0.209901,7.81101,0.138521
1.76077,0.304118;5.50571,2.09084,0.135642,10.0,0.1,0.302932,0.1,10.0,10.0,0.39754,9.18212,0.676712,7.81101,0.1
1.76192,0.30041;10.0,4.41938,0.506868,10.0,0.1,0.1,0.213224,0.1,0.1,10.0,10.0,2.39257,2.89703,0.611677
1.76673,0.301512;5.50571,2.09084,0.1,10.0,0.1,0.395014,0.105352,10.0,9.79359,0.110772,10.0,0.1,7.81101,0.1
1.77249,0.303056;0.1993,0.1,0.1,0.1,0.1,5.76438,10.0,0.1,0.384017,0.1,10.0,10.0,5.12137,0.1
1.77686,0.301972;10.0,2.26116,8.82661,8.85317,0.169661,0.279236,0.1,10.0,0.1,10.0,10.0,1.09402,10.0,0.101509
1.78434,0.303953;10.0,3.06134,0.277325,0.141394,0.1,0.1,0.33857,0.1,0.1,10.0,0.760185,0.1,10.0,0.295394
1.78175,0.305191;10.0,2.98007,0.441219,0.552216,0.230299,1.40737,0.428248,10.0,0.1,0.1,1.10676,0.161033,10.0,0.166419
1.79736,0.303206;10.0,3.13424,0.1,2.90943,1.458,10.0,0.103241,10.0,7.44324,1.2642,10.0,0.174021,10.0,0.1
1.80043,0.300774;10.0,2.98007,0.441219,0.484648,0.1,0.516293,0.1,10.0,0.527643,0.134561,0.1,0.161033,10.0,0.166419
1.80076,0.30028;10.0,2.98007,0.187653,0.552216,0.329953,1.40737,0.20604,10.0,0.1,0.1,1.68075,0.161033,10.0,0.166419
1.81579,0.300443;10.0,3.00475,0.441219,0.1,0.1,0.393308,0.1,10.0,0.1,0.159999,0.1,0.161033,10.0,0.1
1.81059,0.303045;7.16832,2.55198,1.03244,0.1,10.0,9.56083,0.1,1.68767,0.1,1.95761,1.20106,10.0,10.0,0.135261
1.81716,0.303536;10.0,3.39731,0.1,1.87336,1.26028,10.0,0.215639,10.0,8.54692,3.78248,10.0,0.1,10.0,0.218099
1.82681,0.303892;10.0,3.00918,0.370543,0.484648,0.142267,0.474807,0.124273,10.0,0.165503,0.199708,0.120849,0.161033,10.0,0.1
1.82529,0.30167;10.0,3.31144,0.453921,2.78389,0.1,10.0,0.1,0.984531,4.60054,3.29998,0.101981,0.1,10.0,0.291944
1.83766,0.300052;10.0,3.00475,0.441219,0.484648,0.1,0.393308,0.1,10.0,0.1,0.134561,0.1,0.161033,10.0,0.1
1.83462,0.302602;10.0,3.31144,0.1,3.40983,1.31617,10.0,0.216272,0.563881,10.0,10.0,10.0,10.0,10.0,0.1
1.84724,0.299813;10.0,3.31144,0.1,2.95594,0.97183,10.0,0.730686,4.92594,10.0,10.0,10.0,2.19998,10.0,0.1
1.84994,0.301958;10.0,3.06134,0.1,0.731607,0.1,0.1,0.1,0.1,0.1,10.0,0.760185,0.1,10.0,0.295394
1.8527,0.301619;10.0,3.31144,0.103787,4.04312,0.1,10.0,0.1,0.611801,10.0,7.96028,0.1,0.1,10.0,0.1
1.85656,0.300822;1.42974,0.733266,0.125546,0.1,0.15319,0.1,0.228636,5.29482,10.0,0.426441,0.1,10.0,3.17279,0.1
1.86187,0.303492;10.0,3.31144,0.176474,2.78389,0.1,10.0,0.1,1.00859,6.75792,5.44776,0.1,0.1,10.0,0.1
1.85849,0.303313;10.0,3.06134,0.186505,0.1,0.705844,0.1,0.1,0.1,0.1,10.0,0.171684,0.304744,10.0,0.1
1.87614,0.304385;0.16517,0.1,0.159266,0.1,0.268608,0.127807,6.39845,10.0,0.63011,0.194817,0.141028,7.85906,8.98475,0.1
1.87887,0.302792;10.0,3.95032,10.0,10.0,0.1,0.595023,0.944237,10.0,0.164432,10.0,10.0,0.1,1.80145,0.221728
1.88336,0.300146;10.0,3.06134,0.150622,0.149269,0.161023,0.1,0.1,0.1,0.1,10.0,0.760185,0.397325,10.0,0.1
1.8946,0.301279;10.0,3.31144,1.41318,3.40983,0.1,10.0,0.127215,4.92594,0.312343,2.44637,10.0,0.1,10.0,0.1
1.89102,0.304432;3.6341,2.09084,0.135642,10.0,0.1,0.395014,0.767474,10.0,10.0,0.474571,10.0,0.334109,10.0,0.1
1.89811,0.303914;8.82414,3.74553,9.88227,1.83736,0.387509,10.0,0.673452,0.122216,0.420305,0.1,10.0,0.53008,0.1,0.1
1.9061,0.302221;5.75435,2.30391,2.67266,0.1,0.918754,8.69211,0.1,1.2898,1.39629,4.33866,1.05454,1.22526,10.0,0.310401
1.90657,0.303697;0.16517,0.1,0.1,0.116189,0.1827,0.1,6.39845,10.0,0.734167,0.347149,0.141028,7.85906,8.66975,0.1
1.90958,0.302914;0.16517,0.1,0.1,0.116189,0.1827,0.1,6.39845,10.0,0.63011,0.194817,0.141028,7.85906,8.66975,0.1
1.92566,0.303355;10.0,3.06134,0.1,0.731607,0.1,0.1,0.1,0.133338,0.102226,10.0,0.1,0.1,10.0,0.1
1.93025,0.30201;10.0,3.06134,0.1,0.731607,0.1,0.162605,0.1,0.1,0.1,10.0,0.13127,0.1,10.0,0.1
1.93287,0.300247;10.0,3.06134,0.102022,0.731607,0.1,0.113091,0.1,0.1,0.1,10.0,0.151127,0.1,10.0,0.111461
1.93794,0.300306;10.0,3.06134,0.1,0.731607,0.1,0.1,0.1,0.1,0.1,10.0,0.1,0.1,10.0,0.1
1.94745,0.299623;10.0,3.06134,0.1,0.938476,0.166856,0.1,0.1,0.165291,0.1,10.0,0.1,0.1,10.0,0.110725
1.94752,0.301022;10.0,10.0,0.474682,0.1,7.48012,10.0,0.1,10.0,0.1,10.0,10.0,9.35026,10.0,6.20312
1.95356,0.303453;8.11224,3.54929,0.1,10.0,0.1,8.81358,1.87012,0.1,3.65166,1.49409,10.0,10.0,10.0,0.1
1.96048,0.304104;0.188442,0.149189,0.1,0.1,2.99073,6.24022,1.58857,6.72494,0.1,0.334528,10.0,0.1,0.948765,0.1
1.95956,0.302451;8.38358,3.31144,0.1,0.486108,1.31617,10.0,0.310103,4.88058,9.42642,10.0,10.0,5.08518,10.0,0.1
1.96014,0.302781;10.0,3.06134,0.196229,1.37728,0.1,0.408703,0.1,0.1,0.1,10.0,0.1,0.1,10.0,0.1
1.97714,0.304078;10.0,2.57856,0.1,6.2998,0.1,0.1,0.263982,0.1,0.255011,0.1,0.1,10.0,10.0,0.143825
1.98045,0.30367;10.0,2.57856,0.1,6.16079,0.282272,0.100684,0.248909,0.1,0.1,0.1,0.1,10.0,10.0,0.143825
1.98779,0.30126;10.0,2.57856,0.117618,6.2998,0.313326,0.1,0.248909,0.1,0.1,0.1,0.1,10.0,10.0,0.143825
1.99048,0.301793;10.0,2.57856,0.1,6.2998,0.286286,0.1,0.248909,0.1,0.141277,0.147823,0.1,10.0,10.0,0.126043
1.99235,0.303605;0.1,0.1,0.120048,0.128272,0.394449,0.133049,0.254553,0.124369,10.0,0.146922,0.1,0.1,6.54081,10.0
2.00041,0.30174;10.0,2.57856,0.117618,6.2998,0.313326,0.1,0.149786,0.1,0.1,0.1,0.1,10.0,10.0,0.1
2.00179,0.302823;3.4172,1.51,0.1,0.1,1.248,10.0,0.1,0.1,10.0,10.0,5.14032,0.1,10.0,0.1
2.00732,0.304983;5.75435,2.30391,2.67266,0.681493,0.918754,8.69211,0.1,0.1,0.1,4.33866,0.1,1.22526,10.0,0.1
2.00935,0.304164;7.57914,2.17093,0.1,6.9304,0.170192,0.221175,0.104754,0.102832,0.191619,0.1,0.702709,10.0,10.0,0.1304
2.01308,0.302039;0.1,0.1,10.0,10.0,0.1,4.24484,0.1,0.1,0.1,1.97032,0.1,10.0,10.0,6.70065
2.01821,0.304927;10.0,3.95032,0.1,10.0,0.1,0.237814,0.1,1.71547,0.1,9.85786,10.0,0.312305,1.80145,0.1
2.02724,0.30044;7.78051,2.1998,0.1,6.2998,0.261393,0.1,0.230762,0.114756,0.1,0.1,0.333582,10.0,10.0,0.198834
2.03086,0.305019;9.31177,2.57856,0.1,6.2998,0.1,0.340368,0.263982,0.1,0.1,0.1,0.1,10.0,10.0,0.1
2.0368,0.301479;10.0,3.95032,10.0,10.0,0.11791,0.1,0.1,10.0,0.194361,10.0,10.0,0.690156,1.80145,0.1
2.04218,0.302647;7.57914,2.17093,0.1,3.20877,0.163729,0.1,0.104754,0.1,0.1,0.1,0.364371,10.0,10.0,0.1
2.04835,0.302409;0.302109,0.22467,0.104647,0.161482,0.1,3.11253,2.13609,0.424908,0.1,0.1,0.202735,0.187133,10.0,2.15985
2.04944,0.303553;0.1,0.1,0.198835,0.20873,1.85141,7.9916,3.91902,0.121043,0.147634,10.0,0.1,0.116338,8.87162,0.1
2.05947,0.30237;7.16832,2.17093,0.1,6.2998,0.1,0.208325,0.1,0.308938,0.1,1.38872,2.27086,10.0,10.0,0.113516
2.06295,0.301389;10.0,10.0,0.185884,10.0,0.178289,10.0,0.270741,0.1,4.46183,0.17923,0.16469,0.1505,0.128062,0.1
2.06701,0.300889;2.94888,0.720093,0.151086,2.64945,0.1,0.1,0.1,0.723802,10.0,0.1,10.0,0.1,0.1,0.1
2.07345,0.303758;0.1,0.1,0.445134,0.338375,0.506198,10.0,10.0,0.306654,0.283923,0.462017,10.0,1.38323,0.145588,0.192096
2.0788,0.304655;7.16832,2.17093,0.12512,6.2998,0.1,0.1,0.1,0.1,0.1,0.1,0.332675,10.0,10.0,0.149541
2.08125,0.302038;7.16832,2.17093,0.1,6.2998,0.1,0.208325,0.177681,0.1,0.1,0.29629,0.599142,10.0,10.0,0.113516
2.08763,0.303877;7.16832,2.15143,0.179198,6.2998,0.199131,0.212212,0.177971,0.1,0.1,0.1,0.1,10.0,10.0,0.1
2.09655,0.300925;10.0,3.06134,0.1,5.93904,0.1,0.1,0.1,0.1,0.316589,10.0,0.1,0.1,10.0,0.1
2.09724,0.304358;7.16832,2.17093,0.151937,6.2998,0.1,0.1,0.1,0.1,0.1,0.1,0.200992,10.0,10.0,0.1
2.1016,0.300367;7.16832,2.17093,0.1,6.2998,0.18482,0.143047,0.148479,0.1,0.1,0.1,0.200992,10.0,10.0,0.1
2.10456,0.302358;0.1,0.1,0.120048,0.1,0.163219,0.258577,0.254553,0.124369,10.0,0.1,0.159953,0.1,6.54081,10.0
2.10717,0.301625;0.1,0.1,0.120048,0.1,0.163219,0.1,0.233361,0.1,10.0,0.1,0.1,0.16679,6.54081,10.0
2.11406,0.303373;0.1,0.1,0.120048,0.1,0.138328,0.1,0.141633,0.124369,10.0,0.160592,0.368523,0.1,6.54081,10.0
2.11977,0.30044;0.1,0.1,0.135366,0.115741,0.1,0.1,0.317067,0.124369,10.0,0.177785,0.1,0.17769,6.54081,10.0
2.12574,0.300931;10.0,7.61283,3.24933,10.0,0.1,10.0,1.82927,10.0,5.26943,0.585766,0.1,2.63456,7.79339,2.33889
2.12914,0.301722;0.1,0.1,0.120048,0.1,0.137866,0.1,0.109919,0.1,10.0,0.1,0.1,0.1973,6.54081,10.0
2.13618,0.302225;0.1,0.1,0.120048,0.1,0.112862,0.1,0.112292,0.1,10.0,0.1,0.190579,0.339156,6.54081,10.0
2.13827,0.300589;0.1,0.1,0.120048,0.1,0.126851,0.1,0.112292,0.124369,10.0,0.1,0.1,0.187772,6.54081,10.0
2.14756,0.304637;0.1,0.1,0.198835,0.20873,1.43076,7.59212,4.63681,0.1,0.300357,10.0,0.1,1.94408,10.0,0.152052
2.14975,0.305025;10.0,4.69067,0.807015,10.0,0.1,0.113411,0.1,10.0,8.67092,10.0,0.1,0.1,10.0,0.726085
2.16324,0.302732;0.1,0.1,0.476351,0.1,0.1,10.0,10.0,0.1,10.0,10.0,10.0,0.1,1.39531,0.428775
2.16634,0.302697;10.0,4.69067,0.556116,10.0,0.1,0.129186,0.1,10.0,8.67092,10.0,0.617893,0.1,10.0,0.682308
2.16472,0.302716;0.1,0.1,0.1,0.1,3.27568,10.0,0.266836,0.159422,0.162486,0.1,10.0,0.1,10.0,0.1
2.17956,0.30257;10.0,10.0,0.480027,0.124496,0.1,10.0,0.1,10.0,7.27801,10.0,10.0,10.0,10.0,5.47628
2.17102,0.30379;10.0,10.0,0.1,0.1,0.380062,0.1,0.1,10.0,10.0,10.0,0.234344,10.0,10.0,5.64761
2.18378,0.302422;0.268092,0.140081,0.1,0.1,0.1,0.1,0.239228,0.1,9.13205,10.0,0.376403,10.0,10.0,0.1
2.18972,0.302058;1.74126,0.780968,0.134245,2.97652,0.1,0.140199,0.671144,0.162203,0.109412,0.114782,0.366285,10.0,8.74414,0.226446
2.18753,0.303462;10.0,5.40108,0.1,0.188782,0.1,9.55613,0.1,6.02205,2.42111,4.33866,4.06256,0.278213,10.0,1.04297
2.20508,0.302833;1.90215,1.44679,0.1,0.161914,1.75986,10.0,0.1,0.1,10.0,5.80772,1.77553,7.06812,0.872989,0.106563
2.20573,0.302337;0.171554,0.136491,0.352096,0.539495,0.1,9.22397,10.0,0.1,10.0,2.05566,0.171422,8.28869,7.92409,0.257487
2.22064,0.302709;10.0,10.0,0.480027,0.132533,0.192044,10.0,2.66791,0.160515,0.110194,10.0,6.12608,10.0,9.90447,5.47628
2.21799,0.302648;0.268092,0.140081,0.160162,0.173677,0.1,0.211225,0.115108,0.1,8.79352,10.0,0.376403,10.0,10.0,0.1
2.22142,0.304309;10.0,3.95032,10.0,10.0,0.1,0.1,0.1,10.0,0.1,10.0,10.0,9.95309,10.0,0.1
2.22705,0.304308;4.90619,2.52769,0.1,2.78389,2.45315,10.0,0.106156,10.0,8.54692,5.44776,10.0,0.117643,10.0,0.156727
2.23529,0.302535;0.128732,0.1,0.106313,0.1,1.27249,10.0,10.0,0.220906,10.0,0.1,0.1,0.1,10.0,0.1
2.23835,0.302201;10.0,10.0,0.480027,0.285404,0.1,10.0,2.66791,0.1,0.1,1.29297,0.1,10.0,9.90447,5.47628
2.23751,0.301662;0.504733,0.350648,0.1,0.1,0.1,10.0,10.0,0.25179,1.05476,0.1,1.40383,0.1,10.0,0.1
2.24605,0.300343;10.0,10.0,0.480027,0.285404,0.1,10.0,2.66791,0.1,0.1,1.29297,0.119591,10.0,9.90447,5.47628
2.24864,0.300583;10.0,10.0,0.480027,0.285404,0.1,10.0,2.66791,1.51383,0.1,0.1,0.119591,10.0,10.0,5.47628
2.25274,0.304611;10.0,10.0,0.480027,0.110152,0.1,10.0,0.1,0.641942,0.1,10.0,10.0,10.0,10.0,5.47628
2.26605,0.302997;0.1,0.1,0.1,0.438568,0.131157,5.99453,10.0,2.86096,0.726127,0.1,0.1,0.1,10.0,1.88101
2.26759,0.301716;10.0,10.0,0.480027,2.14646,0.1,10.0,2.66791,0.1,0.1,10.0,6.12608,10.0,10.0,5.47628
2.27266,0.302754;10.0,3.74553,5.61243,1.56457,0.410466,10.0,0.224812,0.120526,0.524341,0.127936,10.0,0.466092,0.1,0.1
2.28471,0.299971;10.0,10.0,1.44215,1.38843,0.1,9.56209,0.1,0.641942,1.13711,0.194855,0.667804,10.0,10.0,5.47628
2.28297,0.302648;0.1,0.1,0.565106,0.303758,0.1,10.0,10.0,0.1,0.1,8.76779,0.1,0.1,9.85168,0.26719
2.28916,0.300079;0.1,0.1,0.1,0.194608,0.190351,4.26765,10.0,10.0,0.142319,10.0,0.1,0.981721,1.17207,0.1
2.29591,0.299973;0.1,0.103527,0.1,0.258676,1.36712,10.0,10.0,0.1,0.1,0.1,0.184396,10.0,10.0,1.53953
2.29872,0.3015;0.319426,0.244697,0.34203,0.313467,0.1,10.0,10.0,0.1,0.1,4.32987,10.0,0.1,10.0,0.1
